A,B,C,D,E,F,G,H
69,411,942,3770,52,46,1580838,94252
79,475,855,3421,2,13,83739,85502
60,359,161,643,67,13,2028039,16167
58,350,749,2994,70,86,2117658,74970
71,429,918,3672,91,68,2751504,91891
20,118,832,3329,41,79,1236237,83241
86,514,378,1513,92,65,2785995,37892
69,411,631,2523,32,97,980991,63132
85,509,5,19,73,83,2215749,573
67,404,885,3542,52,96,1580388,88552
20,118,658,2632,73,43,2196129,65873
39,236,561,2242,24,99,731997,56124
65,389,948,3792,89,3,2689509,94889
9,57,297,1188,97,28,2912784,29797
55,328,157,626,64,1,1936503,15764
15,93,556,2226,86,28,2584584,55686
64,381,884,3534,45,68,1369404,88445
65,389,133,530,74,28,2239584,13374
19,113,941,3763,12,4,365712,94112
21,126,329,1318,82,87,2466561,32982
67,404,289,1158,40,53,1220259,28940
43,261,859,3434,96,81,2893143,85996
61,365,709,2836,97,35,2928405,70997
99,596,942,3770,65,61,1979883,94265
49,295,243,971,43,94,1304982,24343
50,297,322,1289,59,58,1785174,32259
66,398,97,386,50,88,1520064,9750
89,536,140,559,68,90,2066970,14068
34,201,850,3399,19,52,580356,85019
85,509,889,3557,59,67,1795701,88959
38,226,510,2038,73,82,2201646,51073
97,581,711,2846,67,6,2039118,71167
77,461,995,3981,78,99,2363397,99578
34,201,615,2462,50,74,1510422,61550
38,226,853,3414,38,67,1151601,85338
78,468,472,1889,30,15,923445,47230
47,279,78,313,39,48,1184244,7839
66,398,773,3090,70,35,2119905,77370
21,126,198,791,47,7,1416321,19847
53,319,753,3010,18,52,556056,75318
10,60,330,1319,66,7,1983021,33066
48,288,344,1376,87,98,2624694,34487
4,24,270,1081,99,89,2971467,27099
58,350,97,386,68,82,2057646,9768
23,139,402,1606,75,98,2257194,40275
22,134,292,1170,58,52,1746756,29258
95,567,647,2590,17,72,538716,64717
70,418,834,3334,89,29,2691087,83489
85,509,902,3609,84,56,2545668,90284
65,389,658,2632,18,39,559617,65818
8,47,280,1119,93,77,2792631,28093
72,429,349,1396,36,55,1101765,34936
84,504,139,554,89,38,2695314,13989
27,161,93,371,72,75,2168325,9372
21,126,47,190,65,63,1956489,4765
78,468,225,902,21,94,653682,22521
59,356,808,3234,33,46,1007838,80833
40,241,755,3018,52,63,1572189,75552
26,154,300,1201,65,11,1957833,30065
37,223,354,1416,10,69,311307,35410
1,4,699,2797,62,28,1860384,69962
79,475,284,1137,42,65,1283895,28442
34,201,674,2697,16,80,490440,67416
50,297,158,630,29,24,885072,15829
7,43,345,1378,7,94,212382,34507
53,319,892,3567,20,88,616164,89220
14,86,31,123,64,41,1924323,3164
36,214,666,2664,55,33,1660899,66655
79,475,932,3730,13,98,413994,93213
56,334,680,2721,43,48,1306944,68043
59,356,581,2324,82,94,2477982,58182
96,573,285,1142,16,23,508869,28516
52,312,491,1962,91,47,2745741,49191
81,489,959,3837,85,97,2574591,95985
16,99,656,2626,31,40,934920,65631
17,100,614,2454,85,63,2555289,61485
55,328,446,1784,34,59,1036677,44634
26,154,627,2510,30,14,907842,62730
2,12,232,926,40,22,1200666,23240
21,126,488,1952,82,61,2466483,48882
25,152,966,3866,21,86,637758,96621
60,359,105,418,88,13,2658039,10588
34,201,426,1702,41,43,1240329,42641
71,429,156,625,25,36,771408,15625
12,75,612,2446,89,82,2673846,61289
39,236,22,89,84,0,2531700,2284
26,154,344,1376,18,11,547833,34418
2,12,188,753,63,27,1890681,18863
7,43,434,1738,48,90,1442370,43448
39,236,34,137,9,99,281997,3409
83,498,129,514,85,33,2574999,12985
40,241,173,693,40,24,1212072,17340
11,68,514,2054,20,33,603399,51420
85,509,355,1419,82,32,2485596,35582
93,556,433,1730,54,41,1648023,43354
34,201,871,3484,46,37,1390311,87146
11,68,374,1497,85,73,2553519,37485
53,319,490,1958,59,52,1786056,49059
56,334,647,2590,22,34,676902,64722
55,328,311,1243,48,70,1456710,31148
83,498,971,3885,84,49,2545047,97184
37,223,778,3112,58,44,1751232,77858
2,12,307,1226,78,45,2340735,30778
13,75,674,2697,12,85,364155,67412
8,47,335,1339,85,62,2552586,33585
26,154,145,580,0,33,7899,14500
1,4,390,1560,28,66,840498,39028
2,12,719,2875,54,82,1620846,71954
72,429,792,3166,35,66,1071798,79235
71,429,502,2007,95,70,2871510,50295
10,60,260,1038,79,17,2373051,26079
72,429,527,2110,76,91,2301873,52776
59,356,57,229,71,42,2147826,5771
34,201,139,554,39,65,1180395,13939
24,144,802,3206,21,73,637419,80221
81,489,467,1867,34,83,1044549,46734
17,100,961,3842,50,92,1505376,96150
67,404,840,3362,20,71,620313,84020
69,411,268,1072,84,83,2540949,26884
93,556,452,1809,97,49,2938047,45297
91,546,19,78,77,7,2337321,1977
55,328,216,866,19,91,586773,21619
79,475,806,3222,95,20,2873760,80695
63,381,708,2831,73,39,2209017,70873
62,369,747,2986,21,49,648747,74721
78,468,536,2143,49,26,1493478,53649
89,536,407,1628,59,23,1796769,40759
92,555,438,1750,23,33,717699,43823
80,480,108,430,58,72,1764216,10858
88,526,879,3516,35,85,1076655,87935
49,295,987,3949,93,22,2804766,98793
33,199,691,2763,72,85,2170155,69172
38,226,668,2672,43,50,1301550,66843
20,118,833,3331,98,2,2946006,83398
63,381,845,3379,70,49,2119047,84570
90,542,94,377,83,81,2517243,9483
72,429,541,2166,70,63,2121789,54170
75,447,510,2038,18,34,562602,51018
55,328,922,3688,10,3,316509,92210
5,29,905,3620,31,43,931629,90531
44,267,146,586,20,5,613215,14620
92,555,176,705,56,6,1707618,17656
14,86,789,3158,32,56,964368,78932
72,429,509,2034,51,62,1551786,50951
80,480,544,2177,20,96,624288,54420
36,214,642,2567,67,44,2020932,64267
15,93,341,1362,99,97,2974791,34199
63,381,447,1789,82,71,2479113,44782
43,261,118,470,86,77,2593131,11886
38,226,841,3364,29,91,881673,84129
38,226,376,1502,66,86,1991658,37666
